cod0119;Caniche Junior;2.5;283.84;471.67; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0120;Caniche Adulto;1;142.09;236.12; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0121;Caniche Adulto;3;347.64;577.68; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0122;Caniche Adulto;7.5;820.93;1364.16; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0123;Dachshund Adulto;3;347.64;577.68; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0124;Schnauzer Miniature;3;347.64;577.68; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0125;Bulldog Franc‚s Adulto;3;347.64;577.68; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0126;Bulldog Adulto;12;899.46;1494.66; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0127;Ovejero Alem n Junior;12;935.86;1555.15; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0128;Ovejero Alem n Adulto;12;899.46;1494.66; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0129;Labrador Retriever Junior;12;935.86;1555.15; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0130;Labrador Retriever Adulto;12;899.46;1494.66; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0131;Boxer Junior;12;935.86;1555.15; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0132;Boxer Adulto;12;899.46;1494.66; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0133;Golden Retriever Junior;12;935.85;1555.14; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0134;Golden Retriever Adulto;12;899.46;1494.66; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0135;Hypoallergenic;2;244.35;456.77; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0136;Hypoallergenic;10;963.52;1801.16; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0137;Hypoallergenic;15;1273.96;2381.48; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0138;Hypoallergenic Small Dog;2;270.54;505.74; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0139;Calm Dog;2;233.90;437.25; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0140;Skin Care Adult Dog;2;211.87;396.06; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0141;Skin Care Adult Dog;10;820.91;1534.57; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0142;Gastrointestinal Jr. Dog;2;229.77;429.52; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0143;Gastrointestinal Dog;2;211.24;394.89; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0144;Gastrointestinal Dog;10;820.34;1533.51; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0145;Gastrointestinal Moderate Calorie Dog;10;816.30;1525.96; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0146;Cardiac;2;211.16;394.74; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0147;Cardiac;10;821.10;1534.94; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0148;Obesity;1.5;165.76;309.85; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0149;Obesity;7.5;668.86;1250.34; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0150;Obesity;15;1163.09;2174.23; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0151;Satiety Support;1.5;165.70;309.75; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0152;Satiety Support;7.5;707.33;1322.24; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0153;Satiety Support;15;1144.12;2138.77; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0154;Renal;2;211.42;395.21; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0155;Renal;10;819.76;1532.43; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0156;Mobility Support;2;210.75;393.98; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0157;Mobility Support;10;822.37;1537.31; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0158;Mobility Larger Dogs;15;1140.23;2131.49; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0159;Hepatic;2;211.37;395.12; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0160;Hepatic;10;822.51;1537.56; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0161;Urinary;2;199.64;373.19; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0162;Urinary;10;769.75;1438.94; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0163;Diabetic Canine;2;211.37;395.12; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
cod0164;Diabetic Canine;10;821.10;1534.94; ROYAL CANIN ; Alimentos ; Caninos ; MARVEM SRL 
